School,Address,Lat/Lon,Distance (Miles)
Automeca Technical College,"452 Calle Villa, Ponce, PR, -","(18.011053, -66.6365)",3722.75715875028
Instituto Irma Valentin - Manati,"52 Calle Mc Kinley, Manati, PR, 00674","(18.429422, -66.49048)",3708.4830833161
Instituto Irma Valentin - Utuado,"137 Calle Doctor Cueto, Utuado, PR, 00641-2861","(18.266048, -66.703926)",3706.95246097748
Dolphin Research Center Training Institute,"58901 Overseas Highway, Grassy Key, FL, 33050","(24.766388, -80.945625)",2748.56143310049
South Dade Technical College,"28300 SW 152nd Avenue, Leisure City, FL, 33033","(25.503876, -80.43691)",2734.59144477758
Yeshivah Gedolah Rabbinical College,"1140 Alton Rd, Miami Beach, FL, 33139","(25.782164, -80.14096)",2734.0956160631
"The ESL School at NYFA, South Beach","420 Lincoln Rd, Miami Beach, FL, 33139","(25.790665, -80.132195)",2734.0702732641
New World Symphony,"541 Lincoln Road, Miami Beach, FL, 33139","(25.790648, -80.13361)",2734.00850733554
Uceda School of Miami Beach,"1688 Meridian Ave. Suite 303, Miami Beach, FL, 33139","(25.791737, -80.136604)",2733.82316326069
Montessori Teacher Training Institute,"14400 Old Cutler Road, Palmetto Bay, FL, 33158","(25.637045, -80.30842)",2733.75866703184
Elevate Salon Institute - Miami Beach,"1500 Bay Road C1, Miami Beach, FL, 33139","(25.78721, -80.14355)",2733.73587369956
Talmudic College of Florida,"4000 Alton Road, Miami Beach, FL, 33140","(25.811533, -80.13586)",2732.89446788293
Language On Miami,"1201 Brickell Avenue Suite 205, Miami, FL, 33131","(25.762217, -80.19174)",2732.81963065341
Mercy Hospital College of Nursing A Program of Plantation General Hospital,"3663 South Miami Avenue, Miami, FL, 33133","(25.743687, -80.215805)",2732.65694999417
Village Montessori,"1414 SW 22 Street, Miami, FL, 33145","(25.750952, -80.21862)",2732.17916274118
Miami Dade College,"300 NE 2nd Ave, Miami, FL, 33132-2297","(25.777224, -80.19036)",2732.15108059248
New World School of the Arts,"25 NE Second Street, Miami, FL, 33132","(25.77609, -80.19323)",2732.07930562359
Robert Morgan Educational Center and Technical College,"18180 SW 122nd Ave, Miami, FL, 33177","(25.59919, -80.389084)",2732.04523315684
Atlantis University,"1442 Biscayne Boulevard, Miami, FL, 33132","(25.78952, -80.18909)",2731.60959607818
The English Center - Miami-Dade County Public Schools,"3501 SW 28 St., Miami, FL, 33133","(25.738878, -80.25077)",2731.34562206852
Praxis Institute,"1850 SW 8th St 4th Fl, Miami, FL, 33135","(25.765543, -80.225624)",2731.15997335084
Paul Mitchell The School Miami,"8905 Dadeland Boulevard, Miami, FL, 33156","(25.687263, -80.31344)",2731.0899763392
Vocational Institute of Florida,"1849 West Flagler Street, Miami, FL, 33135","(25.77271, -80.22604)",2730.79308626248
New Concept Massage and Beauty School,"2022 SW 1st St, Miami, FL, 33135","(25.771494, -80.229385)",2730.70434636401
Lindsey Hopkins Technical College,"750 NW 20 Street, Miami, FL, 33127","(25.795204, -80.20805)",2730.49497103333
La Belle Beauty Academy,"2960 SW 8th Street, Miami, FL, 33135","(25.765081, -80.24175)",2730.46964379666
University of Southernmost Florida - Coral Gables Campus,"178 Giralda Avenue, Coral Gables, FL, 33134","(25.75129, -80.25825)",2730.41121665775
Miami Ad School,"588 NW 29th Street, Miami, FL, 33127","(25.803656, -80.20496)",2730.22085999572
"Center of Cinematography, Art and Television","1637 NW 27th Avenue, Miami, FL, 33125","(25.789438, -80.23967)",2729.3772617211
New Professions Technical Institute,"4000 W.  Flagler St., Miami, FL, 33134","(25.77171, -80.26163)",2729.26859753043
American Medical Academy,"12215 SW 112 Street, Miami, FL, 33186","(25.662312, -80.39508)",2728.70190470219
Universidad FLET,"13024 Southwest 120th Street, Miami, FL, 33186","(25.656631, -80.40497)",2728.54245814734
FastTrain College - Miami,"5555 West Flagler Street, Miami, FL, 33134","(25.770884, -80.28621)",2728.22250444501
International Training Careers,"7360 S.W. 24th Street, Miami, FL, 33155","(25.748096, -80.31479)",2728.06847906521
Compu-Med Vocational Careers - Miami,"9738 S.W. 24th St., Miami, FL, 33165","(25.747198, -80.352196)",2726.45992282061
inlingua Florida Aventura,"19020 NE 29th Avenue Concorde Plaza, Aventura, FL, 33180","(25.95165, -80.14273)",2725.79228002266
ATI Career Training Center - Miami,"7265 NW 25th Street, Miami, FL, 33122-1707","(25.797106, -80.31788)",2725.54768183496
Universal Career School,"10720 West Flagler Street, Sweetwater, FL, 33174","(25.76843, -80.3704)",2724.6224936066
Eureka Institute of Health and Beauty,"11373 West Flagler Street, Miami, FL, 33174","(25.768293, -80.38039)",2724.18794019188
Compu-Med Vocational Careers Corp,"2900 W 12th Ave 3rd Fl, Hialeah, FL, 33012-4861","(25.848059, -80.30631)",2723.58220189317
Total International Career Institute,"3060 W. 12 Avenue, Hialeah, FL, 33012","(25.849443, -80.30636)",2723.51274369741
ATI College of Health,"1395 NW 167th St, Miami, FL, 33169","(25.927439, -80.22401)",2723.36841889564
Azure College,"1525 NW 167 Street, Miami Gardens, FL, 33169","(25.92738, -80.225334)",2723.31269358947
The College of the Florida Keys,"5901 College Road, Key West, FL, 33040","(24.579224, -81.74677)",2722.96856127757
Futura Career Institute,"4512 West 12th Avenue, Hialeah, FL, 33012","(25.86367, -80.30676)",2722.80385890074
SBL North,"1915 Hollywood Blvd, Hollywood, FL, 33020","(26.011547, -80.14539)",2722.7727969254
Beauty Schools of America,"1060 West 49th Street, Hialeah, FL, 33012","(25.866629, -80.304565)",2722.75716436635
La Belle Beauty School,"1495 West 49th Street, Hialeah, FL, 33012","(25.866594, -80.312836)",2722.39319066971
Florida National University,"4425 West 20 Avenue, Hialeah, FL, 33012","(25.86183, -80.322365)",2722.20336779181
Saint Thomas University,"16401 NW 37th Ave, Miami Gardens, FL, 33054-6459","(25.919443, -80.26039)",2722.14673009853
Beauty Academy of South Florida,"9800 NW 77th Avenue, Hialeah Gardens, FL, 33016","(25.862629, -80.32317)",2722.12896260729
More Tech Institute,"5352 West 16 Ave., Hialeah, FL, 33012","(25.87166, -80.31504)",2722.04966097447
Florida Memorial University,"15800 NW 42 Ave, Miami Gardens, FL, 33054-6199","(25.91798, -80.26833)",2721.86647557878
Universal Vocational Institute,"5339 W 20th Avenue, Hialeah, FL, 33012","(25.870916, -80.322655)",2721.74914015672
American Advanced Technicians Institute,"6801 W 20th Avenue, Hialeah, FL, 33014","(25.884892, -80.32326)",2721.0435416919
Advance Science International College,"5190 NW 167th St.; Suire 200, Miami Lakes, FL, 33014","(25.924913, -80.28469)",2720.80634693636
Miami Lakes Educational Center and Technical College,"5780 NW 158th St, Miami Lakes, FL, 33014","(25.916973, -80.29457)",2720.75467204182
The Art Institute of Fort Lauderdale Inc,"1799 SE 17th St, Fort Lauderdale, FL, 33316-3000","(26.10063, -80.12331)",2719.44076030136
United International College,"3130 Commerce Parkway, Miramar, FL, 33025","(25.980036, -80.281715)",2718.26418657706
Unilatina Language Institute,"3130 Commerce Parkway, Miramar, FL, 33025","(25.980036, -80.281715)",2718.26418657706
Kaizen Beauty Academy,"8405 Pines Boulevard, Pembroke Pines, FL, 33024","(26.00907, -80.255165)",2718.03196165052
Broward College,"225 E las Olas Blvd, Fort Lauderdale, FL, 33301","(26.119106, -80.141716)",2717.73169002574
Summit Montessori Teacher Training Institute,"5451 SW 64th Ave., Davie, FL, 33314","(26.052586, -80.23171)",2716.96269149546
Jose Maria Vargas University,"10131 Pines Boulevard, Pembroke Pines, FL, 33026","(26.008293, -80.28132)",2716.9119333096
Nova Southeastern University,"3301 College Ave, Fort Lauderdale, FL, 33314-7796","(26.079506, -80.2385)",2715.35886260731
William T. McFatter Technical College,"6500 Nova Drive, Davie, FL, 33317","(26.086397, -80.23165)",2715.32877457803
Aveda Institute South Florida,"4186 University Drive, Davie, FL, 33328","(26.06967, -80.252304)",2715.22362655632
Florida Language Center,"5975 North Federal Highway Suite 243, Fort Lauderdale, FL, 33308","(26.201923, -80.1093)",2715.16854056758
COSMIX School of Makeup Artistry,"3440 N Andrews Ave., Oakland Park, FL, 33309","(26.170092, -80.146545)",2715.053841881
Keiser University,"1500 NW 49th St., Fort Lauderdale, FL, 33309","(26.186071, -80.164604)",2713.48134363442
McDougle Technical Institute,"1901 North Federal Highway #201, Pompano Beach, FL, 33062","(26.254795, -80.10045)",2713.01018239062
"International School of Health, Beauty & Technology","5950 West Oakland Park Blvd., Lauderhill, FL, 33313","(26.164686, -80.22948)",2711.63876772208
Atlantic Technical College,"4700 Coconut Creek Parkway, Coconut Creek, FL, 33063","(26.244484, -80.1981)",2709.17589199839
Margate School of Beauty Inc,"5281 Coconut Creek Pkwy, Margate, FL, 33063-3962","(26.244492, -80.198296)",2709.1668140014
American Institute - Lauderdale Lakes,"5000-C Coconut Creek Pwy., Margate, FL, 33063","(26.24447, -80.19889)",2709.14153405989
inlingua Florida Weston,"1372 SW 160th Ave, Sunrise, FL, 33326","(26.106535, -80.36229)",2708.5693096156
inlingua Florida Boca Raton,"2142 North Federal Highway, Boca Raton, FL, 33431","(26.368685, -80.07761)",2708.53678391683
Florida Atlantic University,"777 Glades Rd, Boca Raton, FL, 33431-0991","(26.365295, -80.10239)",2707.59956832196
Open Hearts Language Academy (OHLA) Boca Raton,"4205 West Hillsboro Blvd., Coconut Creek, FL, 33073","(26.31763, -80.179474)",2706.47414775294
